City,MMI,No. exceedences,No. exceedences total,,,
Jakarta,3,30,71,1,5,"Note first columns from 1699, second lot from 1808"
Jakarta,4,9,41,1,3,
Jakarta,5,20,32,1,5,
Jakarta,6,6,12,1,2,
Jakarta,7,3,6,,1,
Jakarta,8,3,3,1,1,
Bandung,3,0,7,,,
Bandung,4,2,7,,,
Bandung,5,4,5,,,
Bandung,6,1,1,,,
Bandung,7,,0,,,
Bandung,8,,0,,,
Semarang,3,2,11,,,
Semarang,4,1,9,,,
Semarang,5,5,8,,,
Semarang,6,1,3,,,
Semarang,7,2,2,,,
Semarang,8,,0,,,
Yogyakarta,3,8,23,,,
Yogyakarta,4,9,15,,,
Yogyakarta,5,5,6,,,
Yogyakarta,6,,1,,,
Yogyakarta,7,,1,,,
Yogyakarta,8,1,1,,,
Surabaya,3,3,8,,,
Surabaya,4,3,5,,,
Surabaya,5,1,2,,,
Surabaya,6,,1,,,
Surabaya,7,1,1,,,
Surabaya,8,,0,,,
